id,old_category,proposed_category,confidence,reason
23759636-32f1-47f3-a3c3-0bae872f2f12,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
338f80d8-647b-4507-b2fe-ae69c064287b,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
2fa71cfe-1512-4b26-983e-571847831750,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
1f2b67b0-fb8c-43b3-b01b-14056e48401c,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
94e0a0a8-2f01-42f4-aff2-0d9b8bf6b5a5,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
26287b1e-4940-487a-a1a1-eb3045faf487,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
38c2754b-3d2d-44c1-b72b-e1746ca0d569,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
a6883e89-41e3-4722-ac86-4575c6379af2,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
4b6ad540-5d4f-450e-9463-252fb3b120ba,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
65f61210-0a4d-4fb3-99ea-d698e6cc6e0f,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
84262b2d-34c3-4479-a63f-f18992b24862,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
1943d5e3-a911-40d5-a79e-44a3b927e33e,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
4829f2ef-cd0e-4846-92ba-3b34a6e1bd50,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
c07bff5f-363e-4c43-b1c8-60fda9c807db,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
35709903-0716-4774-ae9c-59d827b21ed2,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
03870a92-e55e-43ee-a5a2-6906216c1878,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
60e622a5-b8c0-4465-84e2-ea919bed16d2,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
1bece10c-b45e-42c8-8bb2-508423598cf6,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
e6205a66-c229-4667-8a38-ca8aff569d7c,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
