id,name,display_name
"583","Cherry Blossom Fragrance Oil (skin safe)(cold process stable)(candle)","Cherry Blossom"
"584","Orchid Bouquet Fragrance Oil (skin safe)(cold process stable)(candle)","Orchid Bouquet"
"585","Roasted Coffee Fragrance Oil (skin safe)(cold process stable)(candle)","Roasted Coffee"
"586","Musk Gold Fragrance Oil (skin safe)(cold process stable)(candle)","Musk Gold"
"587","Jasmine Knight Fragrance Oil (skin safe)(cold process stable)(candle)","Jasmine Knight"
"588","Fresh Oudh Fragrance Oil (candle)","Fresh Oudh"
"589","Cactus Blossom Fragrance Oil (candle)","Cactus Blossom"
"590","Midnight Blue Citrus Fragrance Oil (candle)","Midnight Blue Citrus"
"591","Butterfly Fragrance Oil (candle)","Butterfly"
"592","Temple Fragrance Oil (candle)","Temple"
"593","Rose Candle Fragrance Oil (candle)","Rose Candle"
"594","Mulberry Vanilla Fragrance Oil (candle)","Mulberry Vanilla"
"595","Lavender Florence Fragrance Oil (candle)","Lavender Florence"
"596","Vanilla Fragrance Oil (candle)","Vanilla"
"597","Orange & Cinnamon Fragrance Oil (candle)","Orange & Cinnamon"
"598","Clean Ocean Fragrance Oil (candle)","Clean Ocean"
"599","Bubble Gum Fragrance Oil (candle)","Bubble Gum"
"600","New Aqua Fresh Fragrance Oil (candle)","New Aqua Fresh"
